Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry
DDD,3D Systems Corporation,9.15,1135898705.25,n/a,n/a,Technology,Computer Software: Prepackaged Software
MMM,3M Company,172.73,99634442986.94,n/a,n/a,Health Care,Medical/Dental Instruments
FVAM,5:01 Acquisition Corp.,10.15,110852199.85,n/a,2020,Finance,Business Services
WBAI,500.com Limited,2.69,115674005.41,n/a,2013,Consumer Services,Services-Misc. Amusement & Recreation
JOBS,"51job, Inc.",70.5,2780719585.5,39442831,2004,Technology,Diversified Commercial Services
ETNB,"89bio, Inc.",27.01,536927792.52,n/a,2019,Health Care,Major Pharmaceuticals
EGHT,8x8 Inc,19.77,2101974829.26,n/a,n/a,Technology,EDP Services
EGHT,8x8 Inc,19.77,2101974829.26,n/a,n/a,Technology,EDP Services
NMTR,"9 Meters Biopharma, Inc.",0.9712,145995403.9984,n/a,2018,Health Care,Major Pharmaceuticals
JFU,9F Inc.,1.76,83953056,47700600,2019,Finance,Finance: Consumer Services
AHC,A.H. Belo Corporation,1.51,32329738.73,n/a,n/a,Consumer Services,Newspapers/Magazines
AOS,A.O Smith Corporation,56.31,9092249903.46,n/a,n/a,Consumer Durables,Consumer Electronics/Appliances
ATEN,"A10 Networks, Inc.",7.98,612133550.7,n/a,2014,Technology,Computer Communications Equipment
AAON,"AAON, Inc.",65.13,3402527647.35,n/a,n/a,Capital Goods,Industrial Machinery/Components
AIR,AAR Corp.,28.37,1001484291.77,n/a,n/a,Capital Goods,Aerospace
AAN$,"Aarons Holdings Company, Inc.",19.19,0,n/a,n/a,n/a,n/a
PRG$,"Aarons Holdings Company, Inc.",55,0,n/a,n/a,n/a,n/a
ABB,ABB Ltd,26.34,54228503656.02,n/a,n/a,Consumer Durables,Electrical Products
ABT,Abbott Laboratories,108.22,191804970295.82,n/a,n/a,Health Care,Major Pharmaceuticals
ABBV,AbbVie Inc.,104.58,184633262867.34,n/a,2012,Health Care,Major Pharmaceuticals
ABCM,Abcam plc,19.06,170495855.08,8945218,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABEO,Abeona Therapeutics Inc.,1.62,159614911.26,n/a,n/a,Health Care,Major Pharmaceuticals
ANF,Abercrombie & Fitch Company,20.74,1293844160,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores
FAX,Aberdeen Asia-Pacific Income Fund Inc,4.2,1040322229.8,n/a,1986,n/a,n/a
IAF,Aberdeen Australia Equity Fund Inc,5.05,114848746.3,n/a,n/a,n/a,n/a
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",7.55,383175923.9,n/a,n/a,n/a,n/a
AGD,Aberdeen Global Dynamic Dividend Fund,9.99,125370324.18,n/a,2006,n/a,n/a
FCO,"Aberdeen Global Income Fund, Inc.",7.565,66003028.785,n/a,1992,n/a,n/a
AWP,Aberdeen Global Premier Properties Fund,5.17,441559106.67,n/a,2007,n/a,n/a
ACP,Aberdeen Income Credit Strategies Fund,10.35,180422193.6,n/a,2011,n/a,n/a
JEQ,"Aberdeen Japan Equity Fund, Inc. ",9.29,124565299.44,n/a,1992,n/a,n/a
ASGI,Aberdeen Standard Global Infrastructure Income Fund,18.11,0,n/a,2020,n/a,n/a
AOD,Aberdeen Total Dynamic Dividend Fund,8.56,902489351.44,n/a,2007,n/a,n/a
ABMD,"ABIOMED, Inc.",274.1,12386546930.3,n/a,n/a,Health Care,Medical/Dental Instruments
ABM,ABM Industries Incorporated,38.5,2567453465.5,n/a,n/a,Finance,Diversified Commercial Services
AXAS,Abraxas Petroleum Corporation,2.36,19832177.4,n/a,n/a,Energy,Oil & Gas Production
ABST,Absolute Software Corporation,10.3,502411216.4,n/a,2020,Technology,Computer Software: Prepackaged Software
ACIU,AC Immune SA,5.54,397446718.9,n/a,2016,Health Care,Major Pharmaceuticals
ACIA,"Acacia Communications, Inc.",69.68,2936593223.2,n/a,2016,Technology,Semiconductors
ACTG,Acacia Research Corporation,3.69,181841181.57,n/a,n/a,Miscellaneous,Multi-Sector Companies
ASO,"Academy Sports and Outdoors, Inc.",16.45,1479029205.5,n/a,2020,Consumer Services,Other Specialty Stores
ACHC,"Acadia Healthcare Company, Inc.",42.45,3777678647.4,n/a,n/a,Health Care,Medical Specialities
ACAD,ACADIA Pharmaceuticals Inc.,56.66,9007698409.42,n/a,1985,Health Care,Major Pharmaceuticals
AKR,Acadia Realty Trust,14.2,1225007062.6,n/a,n/a,Consumer Services,Real Estate Investment Trusts
ACAM,Acamar Partners Acquisition Corp.,10.2,389605850.4,n/a,2019,Consumer Durables,Automotive Aftermarket
ACAMU,Acamar Partners Acquisition Corp.,11,0,n/a,2019,Consumer Durables,Automotive Aftermarket
ACAMW,Acamar Partners Acquisition Corp.,1.29,0,n/a,2019,Consumer Durables,Automotive Aftermarket
ACST,"Acasti Pharma, Inc.",0.29,28098835.73,n/a,n/a,Health Care,Major Pharmaceuticals
ACEL,"Accel Entertainment, Inc.",10.44,1009382108.4,n/a,2017,Consumer Services,Services-Misc. Amusement & Recreation
AXDX,"Accelerate Diagnostics, Inc.",7.83,446542504.02,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments
ACCP,"Accelerated Pharma, Inc.",n/a,0,n/a,n/a,n/a,n/a
XLRN,Acceleron Pharma Inc.,118.07,7113955056.84,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACN,Accenture plc,249.09,157946338456.86,n/a,2001,Miscellaneous,Business Services
ACCO,Acco Brands Corporation,7.66,723845771.42,n/a,n/a,Consumer Durables,Publishing
ACCD,"Accolade, Inc.",51.91,2857083003.24,n/a,2020,n/a,n/a
ARAY,Accuray Incorporated,4.46,406758502.68,n/a,2007,Health Care,Medical/Dental Instruments
ACEV,ACE Convergence Acquisition Corp.,9.85,283187500,n/a,2020,Finance,Business Services
ACEVU,ACE Convergence Acquisition Corp.,10.15,0,n/a,2020,Finance,Business Services
ACEVW,ACE Convergence Acquisition Corp.,0.81,0,n/a,2020,Finance,Business Services
ACLL,"ACell, Inc.",n/a,0,n/a,n/a,n/a,n/a
ACRX,"AcelRx Pharmaceuticals, Inc.",1.5,135716419.5,n/a,2011,Health Care,Major Pharmaceuticals
ACER,Acer Therapeutics Inc.,2.69,33046663.45,n/a,n/a,Health Care,Major Pharmaceuticals
ACHV,"Achieve Life Sciences, Inc. ",8.62,31184263.68,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACIW,"ACI Worldwide, Inc.",32.58,3804090679.98,n/a,n/a,Technology,Computer Software: Prepackaged Software
ACACU,Acies Acquisition Corp.,10.02,0,n/a,2020,Finance,Business Services
ACRS,"Aclaris Therapeutics, Inc.",3.34,143350431.94,n/a,2015,Health Care,Major Pharmaceuticals
ACMR,"ACM Research, Inc.",82.62,1525563758.88,n/a,2017,Technology,Industrial Machinery/Components
ACU,Acme United Corporation.,33.12,110584798.56,n/a,1988,Capital Goods,Industrial Machinery/Components
ACNB,ACNB Corporation,24.91,216799526.83,n/a,n/a,Finance,Major Banks
STWO,ACON S2 Acquisition Corp.,9.9,309375000,n/a,2020,Finance,Business Services
STWOU,ACON S2 Acquisition Corp.,10.1,0,n/a,2020,Finance,Business Services
STWOW,ACON S2 Acquisition Corp.,1.05,0,n/a,2020,Finance,Business Services
ACOR,"Acorda Therapeutics, Inc.",0.6678,32029290.72,n/a,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATV,"Acorn International, Inc.",20.8,53475801.6,n/a,2007,Consumer Services,Other Specialty Stores
ATNM,"Actinium Pharmaceuticals, Inc.",11,149451775,n/a,n/a,Health Care,Major Pharmaceuticals
ATVI,"Activision Blizzard, Inc",79.48,61426689063.8,n/a,n/a,Technology,Computer Software: Prepackaged Software
AYI,"Acuity Brands, Inc. ",118.72,4373202686.72,n/a,n/a,Consumer Durables,Building Products
GOLF,Acushnet Holdings Corp.,37.7,2800902913.9,n/a,2016,Consumer Non-Durables,Recreational Products/Toys
AFIB,"Acutus Medical, Inc.",28.42,791385678.86,n/a,2020,Health Care,Medical/Dental Instruments
ADMS,"Adamas Pharmaceuticals, Inc.",4.53,129197951.07,n/a,2014,Health Care,Major Pharmaceuticals
ADMP,Adamis Pharmaceuticals Corporation,0.4333,40581850.2124,n/a,n/a,Health Care,Major Pharmaceuticals
ADX,"Adams Diversified Equity Fund, Inc.",16.68,1812838644.96,n/a,n/a,n/a,n/a
PEO,"Adams Natural Resources Fund, Inc.",10.96,326371055.76,n/a,n/a,n/a,n/a
AE,"Adams Resources & Energy, Inc.",26.5,112420526,n/a,n/a,Energy,Oil Refining/Marketing
AHCO,AdaptHealth Corp. ,29.86,2676468552.6,n/a,2018,Health Care,Medical/Nursing Services
ADAP,Adaptimmune Therapeutics plc,5.01,681857878.77,136099377,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADPT,Adaptive Biotechnologies Corporation,48.22,6595165947.74,n/a,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADCT,ADC Therapeutics SA,37.31,2862372756.88,n/a,2020,Health Care,Major Pharmaceuticals
ADXN,Addex Therapeutics Ltd,9.79,2947622.15,301085,n/a,Health Care,Major Pharmaceuticals
ADUS,Addus HomeCare Corporation,99.25,1569014269,n/a,2009,Health Care,Medical/Nursing Services
AEY,"ADDvantage Technologies Group, Inc.",3.19,37606718.6,n/a,n/a,Consumer Services,Office Equipment/Supplies/Services
AGRO,Adecoagro S.A.,6.18,725154921.12,n/a,2011,Consumer Non-Durables,Farming/Seeds/Milling
ADIL,"Adial Pharmaceuticals, Inc",2.33,33535923,n/a,2018,Health Care,Major Pharmaceuticals
ADILW,"Adial Pharmaceuticals, Inc",0.3011,0,n/a,2018,Health Care,Major Pharmaceuticals
ACET,"Adicet Bio, Inc.",12.33,241542579.24,n/a,2018,Health Care,Major Pharmaceuticals
ADNT,Adient plc,31.29,2937642281.49,n/a,2016,Capital Goods,Auto Parts:O.E.M.
ADTX,"ADiTx Therapeutics, Inc.",2.04,25050571.68,n/a,2020,Health Care,Major Pharmaceuticals
ADMA,ADMA Biologics Inc,2.04,192878026.08,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Inc.,478.47,229531141796.01,n/a,1986,Technology,Computer Software: Prepackaged Software
ADT,ADT Inc.,7.77,6413810416.02,n/a,2018,Consumer Services,Diversified Commercial Services
ATGE,Adtalem Global Education Inc.,28.63,1491376295.29,n/a,n/a,Consumer Services,Other Consumer Services
ADTN,"ADTRAN, Inc.",12.635,605926839.7,n/a,1994,Public Utilities,Telecommunications Equipment
AAP,Advance Auto Parts Inc,147.7,10022115410.3,n/a,n/a,Consumer Services,Other Specialty Stores
WMS,"Advanced Drainage Systems, Inc.",69.75,4915754986.5,n/a,2014,Capital Goods,Containers/Packaging
ADES,"Advanced Emissions Solutions, Inc.",5.65,104795561.55,n/a,n/a,Basic Industries,Major Chemicals
AEIS,"Advanced Energy Industries, Inc.",96.46,3691786088.9,n/a,1995,Capital Goods,Industrial Machinery/Components
AMD,"Advanced Micro Devices, Inc.",92.66,111443260377.08,n/a,n/a,Technology,Semiconductors
ASIX,AdvanSix Inc.,17.77,498097915.67,n/a,2016,Basic Industries,Major Chemicals
ADV,Advantage Solutions Inc. ,10.51,3294098662.82,n/a,2019,Miscellaneous,Business Services
ADVWW,Advantage Solutions Inc. ,1.8,0,n/a,2019,Miscellaneous,Business Services
ADXS,"Advaxis, Inc.",0.295,31217399.435,n/a,n/a,Health Care,Major Pharmaceuticals
AVK,Advent Convertible and Income Fund,15.92,549641534.24,n/a,2003,n/a,n/a
ADVM,"Adverum Biotechnologies, Inc.",13.59,1324720624.77,n/a,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DWEQ,AdvisorShares Dorsey Wright Alpha Equal Weight ETF,26.7962,0,n/a,n/a,n/a,n/a
DWAW,AdvisorShares Dorsey Wright FSM All Cap World ETF,34.6978,0,n/a,n/a,n/a,n/a
DWUS,AdvisorShares Dorsey Wright FSM US Core ETF,32.9874,0,n/a,n/a,n/a,n/a
DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,25.67,0,n/a,n/a,n/a,n/a
DWSH,AdvisorShares Dorsey Wright Short ETF,12.48,0,n/a,n/a,n/a,n/a
IMPX,AEA-Bridges Impact Corp.,9.9,509850000,n/a,2020,Finance,Business Services
IMPX.U,AEA-Bridges Impact Corp.,n/a,0,n/a,2020,n/a,n/a
IMPX.WS,AEA-Bridges Impact Corp.,n/a,0,n/a,n/a,n/a,n/a
ACM,AECOM,51.89,7823133114.99,n/a,2007,Consumer Services,Military/Government/Technical
AEGN,Aegion Corp,17.15,527754411.8,n/a,n/a,Basic Industries,Water Supply
AGLE,"Aeglea BioTherapeutics, Inc.",8.56,410341635.92,n/a,2016,Health Care,Major Pharmaceuticals
AEFC,Aegon Funding Company LLC,26.12,0,n/a,2019,Finance,Life Insurance
AEB,Aegon NV,24.84,0,n/a,n/a,Finance,Life Insurance
AEG,Aegon NV,3.64,7383810525,n/a,n/a,Finance,Life Insurance
AEHR,Aehr Test Systems,1.65,38462014.8,n/a,1997,Capital Goods,Electrical Products
AMTX,"Aemetis, Inc",2.19,47776282.26,n/a,n/a,Basic Industries,Major Chemicals
AENZ,Aenza S.A.A.,2.3303,406366035.5013,n/a,2018,Basic Industries,Military/Government/Technical
ARBGU,Aequi Acquisition Corp.,10,0,n/a,2020,Finance,Business Services
AER,Aercap Holdings N.V.,36.76,4769853093.88,n/a,2006,Technology,Diversified Commercial Services
AERI,"Aerie Pharmaceuticals, Inc.",12.41,580971581.13,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACY,AeroCentury Corp.,2.14,3308191.76,n/a,n/a,Technology,Diversified Commercial Services
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",37.43,2859652000,n/a,n/a,Capital Goods,Military/Government/Technical
AVAV,"AeroVironment, Inc.",85.39,2058288719.96,n/a,2007,Capital Goods,Aerospace
ARPO,"Aerpio Pharmaceuticals, Inc.",1.71,80560936.89,n/a,n/a,Health Care,Major Pharmaceuticals
AIH,Aesthetic Medical International Holdings Group Ltd.,6.15,16605000,2700000,2019,Health Care,Medical Specialities
AEZS,AEterna Zentaris Inc.,0.3992,25021302.3096,n/a,n/a,Health Care,Major Pharmaceuticals
AEMD,"Aethlon Medical, Inc.",1.86,22484262.18,n/a,n/a,Health Care,Medical/Dental Instruments
AMG,"Affiliated Managers Group, Inc.",87.12,3951855460.08,n/a,n/a,Finance,Investment Managers
MGR,"Affiliated Managers Group, Inc.",27.39,0,n/a,2019,Finance,Investment Managers
MGRB,"Affiliated Managers Group, Inc.",26.21,0,n/a,2020,Finance,Investment Managers
AFMD,Affimed N.V.,5.34,471661053.6,n/a,2014,Health Care,Major Pharmaceuticals
AFL,Aflac Incorporated,43.93,30858419612.85,n/a,n/a,Finance,Accident &Health Insurance
AFYA,Afya Limited,26.52,2471738865.96,n/a,2019,Consumer Services,Other Consumer Services
MITT,"AG Mortgage Investment Trust, Inc.",3.18,129495422.58,n/a,2011,n/a,n/a
MITT^A,"AG Mortgage Investment Trust, Inc.",19.8,0,n/a,n/a,n/a,n/a
MITT^B,"AG Mortgage Investment Trust, Inc.",20.01,0,n/a,n/a,n/a,n/a
MITT^C,"AG Mortgage Investment Trust, Inc.",19.85,0,n/a,n/a,n/a,n/a
AGBA,AGBA Acquisition Limited,10.41,62199750,n/a,2019,Finance,Business Services
AGBAR,AGBA Acquisition Limited,0.354,0,n/a,2019,Finance,Business Services
AGBAU,AGBA Acquisition Limited,11.4,0,n/a,2019,Finance,Business Services
AGBAW,AGBA Acquisition Limited,0.58,0,n/a,2019,Finance,Business Services
AGCO,AGCO Corporation,92.51,6928953855.12,n/a,n/a,Capital Goods,Industrial Machinery/Components
UAVS,"AgEagle Aerial Systems, Inc.",2.89,167563289.53,n/a,n/a,Capital Goods,Aerospace
AGEN,Agenus Inc.,3.7,703552413.7,n/a,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGE,"AgeX Therapeutics, Inc.",1.77,66709535.31,n/a,2018,Health Care,Major Pharmaceuticals
AGRX,"Agile Therapeutics, Inc.",2.82,246565583.28,n/a,2014,Health Care,Major Pharmaceuticals
A,"Agilent Technologies, Inc.",116.9,35771400000,n/a,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AGYS,"Agilysys, Inc.",37.36,881367717.68,n/a,n/a,Technology,EDP Services
AGIO,"Agios Pharmaceuticals, Inc.",46.32,3208114723.44,n/a,2013,Health Care,Major Pharmaceuticals
AGMH,AGM Group Holdings Inc.,15.04,434521467.2,n/a,2018,Technology,EDP Services
AGNC,AGNC Investment Corp.,15.28,8330832774.32,n/a,2008,Consumer Services,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp.,23.43,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp.,23.85,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp.,23.11,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp.,22.3,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts
AEM,Agnico Eagle Mines Limited,65.87,15963619464.73,n/a,n/a,Basic Industries,Precious Metals
API,"Agora, Inc.",38.45,773806250,20125000,2020,Technology,Computer Software: Prepackaged Software
ADC,Agree Realty Corporation,65.9,3648917597.5,n/a,n/a,Consumer Services,Real Estate Investment Trusts
AGFS,"AgroFresh Solutions, Inc.",2.3,122026408,n/a,2014,Finance,Business Services
AIKI,AIkido Pharma Inc.,0.56,19555322.64,n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ALRN,"Aileron Therapeutics, Inc.",1.09,44346267.41,n/a,2017,Health Care,Major Pharmaceuticals
AIRI,Air Industries Group,1.33,42200574.15,n/a,n/a,Capital Goods,Military/Government/Technical
AL,Air Lease Corporation,36.57,4160894592.42,n/a,2011,Technology,Diversified Commercial Services
AL^A,Air Lease Corporation,26.26,0,n/a,n/a,n/a,n/a
APD,"Air Products and Chemicals, Inc.",280.14,61918389482.88,n/a,n/a,Basic Industries,Major Chemicals
AIRT,"Air T, Inc.",11,31700383,n/a,n/a,Transportation,Air Freight/Delivery Services
AIRTP,"Air T, Inc.",23.15,0,n/a,n/a,Transportation,Air Freight/Delivery Services
AIRTW,"Air T, Inc.",0.0524,0,n/a,n/a,Transportation,Air Freight/Delivery Services
ATSG,"Air Transport Services Group, Inc",30.74,1831789529.8,n/a,n/a,Transportation,Air Freight/Delivery Services
AIRG,"Airgain, Inc.",13.28,129718468.96,n/a,2016,Technology,Radio And Television Broadcasting And Communications Equipment
ANTE,AirNet Technology Inc.,1.2,10842658.8,9035549,n/a,Technology,Advertising
AJAX.U,Ajax I,n/a,0,n/a,2020,n/a,n/a
AKAM,"Akamai Technologies, Inc.",103.51,16850805697.88,n/a,1999,Miscellaneous,Business Services
AKTX,Akari Therapeutics Plc,1.6,54109852.8,33818658,n/a,Health Care,Major Pharmaceuticals
AKBA,"Akebia Therapeutics, Inc.",3.31,478423739.14,n/a,2014,Health Care,Major Pharmaceuticals
KERN,Akerna Corp.,4.29,60311853.03,n/a,2018,Technology,EDP Services
KERNW,Akerna Corp.,0.5244,0,n/a,2018,Technology,EDP Services
AKRO,"Akero Therapeutics, Inc.",28.78,999294699.1,n/a,2019,Health Care,Major Pharmaceuticals
AKER,Akers Biosciences Inc.,2.04,37996634.04,n/a,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKUS,"Akouos, Inc.",20.68,711033512.2,n/a,2020,Health Care,Major Pharmaceuticals
AKTS,"Akoustis Technologies, Inc.",7.61,293957664.54,n/a,n/a,Public Utilities,Telecommunications Equipment
AKU,Akumin Inc.,3.29,230887028.12,n/a,n/a,Health Care,Medical Specialities
ALP^Q,Alabama Power Company,28.16,0,n/a,n/a,n/a,n/a
ALG,"Alamo Group, Inc.",135.72,1612264703.4,n/a,n/a,Capital Goods,Industrial Machinery/Components
AGI,Alamos Gold Inc.,8.27,3247609730.9,n/a,2015,Basic Industries,Precious Metals
ALRM,"Alarm.com Holdings, Inc.",75.91,3728097309.61,n/a,2015,Technology,Computer Software: Prepackaged Software
ALK,"Alaska Air Group, Inc.",50.97,6303142764.66,n/a,n/a,Transportation,Air Freight/Delivery Services
ALSK,"Alaska Communications Systems Group, Inc.",3.06,164696957.1,n/a,1999,Public Utilities,Telecommunications Equipment
AIN,Albany International Corporation,68.53,2213519000,n/a,n/a,Basic Industries,Textiles
ALB,Albemarle Corporation,135.97,14474984532.21,n/a,n/a,Basic Industries,Major Chemicals
ALAC,Alberton Acquisition Corporation,11.07,51101754.66,n/a,2018,Finance,Business Services
ALACR,Alberton Acquisition Corporation,0.5099,0,n/a,2018,Finance,Business Services
ALACU,Alberton Acquisition Corporation,11.2,0,n/a,2018,Finance,Business Services
ALACW,Alberton Acquisition Corporation,0.76,0,n/a,2018,Finance,Business Services
ACI,"Albertsons Companies, Inc.",16.03,7576624624.45,n/a,2020,Consumer Services,Food Chains
ALBO,"Albireo Pharma, Inc.",37.21,709864360.87,n/a,n/a,Health Care,Major Pharmaceuticals
AA,Alcoa Corporation,19.9,3699998761.4,n/a,2016,Basic Industries,Aluminum
ALC,Alcon Inc.,64.22,31416424000,n/a,2019,Health Care,Ophthalmic Goods
ALDX,"Aldeyra Therapeutics, Inc.",7.03,272907039.41,n/a,2014,Health Care,Major Pharmaceuticals
ALEC,"Alector, Inc.",13.11,1038871914.99,n/a,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALRS,Alerus Financial Corporation,24.03,411438367.89,n/a,2019,Finance,Major Banks
ALEX,"Alexander & Baldwin, Inc.",15.65,1132345530.55,n/a,n/a,Consumer Services,Real Estate Investment Trusts
ALX,"Alexander&#39;s, Inc.",273.36,1396128794.4,n/a,n/a,Consumer Services,Real Estate Investment Trusts
ARE,"Alexandria Real Estate Equities, Inc.",163.73,22094321686.01,n/a,n/a,Consumer Services,Real Estate Investment Trusts
AXU,Alexco Resource Corp,2.4,328942012.8,n/a,n/a,Basic Industries,Precious Metals
ALXN,"Alexion Pharmaceuticals, Inc.",122.11,26723215701.52,n/a,1996,Health Care,Major Pharmaceuticals
AQN,Algonquin Power & Utilities Corp.,15.68,9361450987.84,n/a,2016,Public Utilities,Electric Utilities: Central
AQNA,Algonquin Power & Utilities Corp.,27.51,0,n/a,2018,Public Utilities,Electric Utilities: Central
AQNB,Algonquin Power & Utilities Corp.,27.72,0,n/a,2019,Public Utilities,Electric Utilities: Central
BABA,Alibaba Group Holding Limited,263.36,712556454976,n/a,2014,Miscellaneous,Business Services
ALCO,"Alico, Inc.",30.99,232165985.58,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling
ALIT,Alight Inc.,n/a,0,n/a,n/a,n/a,n/a
ALGN,"Align Technology, Inc.",481.29,37949905165.68,n/a,2001,Health Care,Industrial Specialties
ALGS,"Aligos Therapeutics, Inc.",18.71,713186096.1,n/a,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALIM,"Alimera Sciences, Inc.",4.69,24067879.36,n/a,2010,Health Care,Major Pharmaceuticals
ALYA,Alithya Group inc.,2.42,140556588.7,n/a,n/a,Technology,"Computer Software: Programming, Data Processing"
ALJJ,"ALJ Regional Holdings, Inc.",0.9579,40397316.4989,n/a,n/a,Miscellaneous,Business Services
ALKS,Alkermes plc,18.26,2906075074.1,n/a,1991,Health Care,Major Pharmaceuticals
ALLK,Allakos Inc.,107.03,5619433122.38,n/a,2018,Health Care,Major Pharmaceuticals
Y,Alleghany Corporation,575.2,8127805504.8,n/a,n/a,Finance,Property-Casualty Insurers
ATI,Allegheny Technologies Incorporated,13.49,1710753829.56,n/a,n/a,Basic Industries,Steel/Iron Ore
ABTX,"Allegiance Bancshares, Inc.",31.66,647368166.6,n/a,2015,Finance,Major Banks
ALGT,Allegiant Travel Company,170.19,2789325771.39,n/a,2006,Transportation,Air Freight/Delivery Services
ALLE,Allegion plc,114.04,10496129270.6,n/a,2013,Consumer Services,Diversified Commercial Services
ALGM,"Allegro MicroSystems, Inc.",23.95,4536890795.7,n/a,2020,Technology,Semiconductors
ALNA,"Allena Pharmaceuticals, Inc.",1.35,51692782.5,n/a,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALE,"Allete, Inc.",56.24,2923067532.4,n/a,n/a,Public Utilities,Power Generation
ADS,Alliance Data Systems Corporation,73.14,3490371281.76,n/a,2001,Miscellaneous,Business Services
AFB,Alliance National Municipal Income Fund Inc,14.06,404153800.16,n/a,2002,n/a,n/a
ARLP,"Alliance Resource Partners, L.P.",4.5,572378485.5,n/a,1999,Energy,Coal Mining
AWF,Alliance World Dollar Government Fund II,11.31,975257646.87,n/a,1993,n/a,n/a
AB,AllianceBernstein Holding L.P.,31.87,3065083482.16,n/a,n/a,Finance,Investment Managers
LNT,Alliant Energy Corporation,52.6,13137410873.8,n/a,n/a,Public Utilities,Power Generation
AIO,AllianzGI Artificial Intelligence & Tech Opp Fd,23.99,823412008.65,n/a,2019,n/a,n/a
CBH,AllianzGI Convertible & Income 2024 Target Term Fund,9.88,180394138.08,n/a,2017,n/a,n/a
NCV,AllianzGI Convertible & Income Fund,5.39,487113536.91,n/a,2003,n/a,n/a
NCV^A,AllianzGI Convertible & Income Fund,26.79,0,n/a,n/a,n/a,n/a
NCZ,AllianzGI Convertible & Income Fund II,4.81,366116752.69,n/a,2003,n/a,n/a
NCZ^A,AllianzGI Convertible & Income Fund II,26.43,0,n/a,n/a,n/a,n/a
